,index,pbratio,binder_con,defoamer,final_temp,viscosity,coating_speed,Gap,lab_temperature,lab_humidity,thickness1,thickness2,thickness3,thickness4,thickness5,average_thickness,sheet_thickness,standard_deviation,standard_deviation2
index,1.0,-0.19703332439777588,0.24090265951756065,0.2926922373017,-0.5575179238573079,0.08460581699250433,-0.4396553353994311,0.4222954332099287,-0.4856379600216826,-0.6555017208054047,0.3292382990048758,0.2802367507309246,0.28725446775794145,0.26847932514511297,0.2909818690140836,0.2972924985941415,0.2972924985941414,-0.15545690127242678,-0.18530394805367445
pbratio,-0.19703332439777588,1.0,-0.17860301663937636,-0.17690821285985728,-0.14059875211674716,-0.20555211117614086,0.17142957439434123,-0.18317312733513247,0.1307262402704134,0.16730136197763143,-0.18092224420704775,-0.15923003853803497,-0.16528705054461212,-0.1621672030069817,-0.16245013045514325,-0.16949965553498852,-0.16949965553498852,0.04475500209412334,0.04440524363420616
binder_con,0.24090265951756065,-0.17860301663937636,1.0,0.1231275726887455,0.1689055354377282,0.3641345593790739,-0.20594353518084363,0.16505838913866486,0.025102382280991403,-0.2942685754786566,0.03576389233778766,0.03143067573550563,0.02580433188573655,0.02378959849884995,0.029009309271809024,0.029789445747770028,0.029789445747770052,-0.07657298327548644,-0.07770933039799587
defoamer,0.2926922373017,-0.17690821285985728,0.1231275726887455,1.0,0.09692771934617503,-0.19895650565385395,-0.11818225570545228,0.18201614704583582,-0.4307673071940984,-0.35737546796699804,0.04017949930100555,0.03234264842003307,0.03299113071696421,0.027928934755257578,0.03975476750811964,0.03533815542205994,0.03533815542205994,-0.0480215023762096,-0.04403841067810071
final_temp,-0.5575179238573079,-0.14059875211674716,0.1689055354377282,0.09692771934617503,1.0,0.185131303334106,0.17544664623295433,-0.035480423366310986,0.2821290933833532,0.14966264420060227,0.010123410263580549,0.02973278524082803,0.031831147142371764,0.03354919488137843,0.023632017767279138,0.026551085746494358,0.026551085746494358,0.12942131571054274,0.14780549128276008
viscosity,0.08460581699250433,-0.20555211117614086,0.3641345593790739,-0.19895650565385395,0.185131303334106,1.0,-0.04083792630182417,0.0003427746540086604,0.24119047743156496,0.05208978394844573,0.23442182092720457,0.2543737208993505,0.2261835849100244,0.19736314350163234,0.2335673001966348,0.23470562133528095,0.23470562133528095,0.11252899974414796,0.05792484679266809
coating_speed,-0.4396553353994311,0.17142957439434123,-0.20594353518084363,-0.11818225570545228,0.17544664623295433,-0.04083792630182417,1.0,-0.2880320570099004,0.09173200506134241,0.45078644141411006,-0.20809186710826041,-0.16656495932362156,-0.11436958031504711,-0.11081417367587931,-0.15980001789226708,-0.1550190192902503,-0.15501901929025028,0.30707093629179955,0.3993020002074357
Gap,0.4222954332099287,-0.18317312733513247,0.16505838913866486,0.18201614704583582,-0.035480423366310986,0.0003427746540086604,-0.2880320570099004,1.0,-0.31906248561943595,-0.4361143387092719,0.8643202775976119,0.8188558422481392,0.8577326159743491,0.8704192469287236,0.8672349407502125,0.8741857035974059,0.8741857035974057,0.2926141695291062,0.285460825003937
lab_temperature,-0.4856379600216826,0.1307262402704134,0.025102382280991403,-0.4307673071940984,0.2821290933833532,0.24119047743156496,0.09173200506134241,-0.31906248561943595,1.0,0.480492560204337,-0.1618339266086275,-0.15378425150549027,-0.17412291032464505,-0.16242874675062005,-0.15603502066122493,-0.16517978115687734,-0.16517978115687743,-0.05643118021125134,-0.07563123550511798
lab_humidity,-0.6555017208054047,0.16730136197763143,-0.2942685754786566,-0.35737546796699804,0.14966264420060227,0.05208978394844573,0.45078644141411006,-0.4361143387092719,0.480492560204337,1.0,-0.3081637466489496,-0.25531660376714665,-0.27205868491474205,-0.26154597901656257,-0.2664684510552931,-0.2782636501165335,-0.27826365011653337,0.16647092181058662,0.17606373657639796
thickness1,0.3292382990048758,-0.18092224420704775,0.03576389233778766,0.04017949930100555,0.010123410263580549,0.23442182092720457,-0.20809186710826041,0.8643202775976119,-0.1618339266086275,-0.3081637466489496,1.0,0.9614651358149958,0.9430271939794834,0.9270313958550087,0.9653712811640417,0.9805301692028806,0.9805301692028805,0.48783032616721217,0.42553562414969137
thickness2,0.2802367507309246,-0.15923003853803497,0.03143067573550563,0.03234264842003307,0.02973278524082803,0.2543737208993505,-0.16656495932362156,0.8188558422481392,-0.15378425150549027,-0.25531660376714665,0.9614651358149958,1.0,0.908865592728413,0.91669602205304,0.9685812976757996,0.9729721301408037,0.9729721301408035,0.6078216561303362,0.5226193361959517
thickness3,0.28725446775794145,-0.16528705054461212,0.02580433188573655,0.03299113071696421,0.031831147142371764,0.2261835849100244,-0.11436958031504711,0.8577326159743491,-0.17412291032464505,-0.27205868491474205,0.9430271939794834,0.908865592728413,1.0,0.964898919266038,0.9524939319995518,0.9747393828757629,0.9747393828757627,0.529058662047414,0.5042067826788837
thickness4,0.26847932514511297,-0.1621672030069817,0.02378959849884995,0.027928934755257578,0.03354919488137843,0.19736314350163234,-0.11081417367587931,0.8704192469287236,-0.16242874675062005,-0.26154597901656257,0.9270313958550087,0.91669602205304,0.964898919266038,1.0,0.9532712231611491,0.9732949913226344,0.9732949913226342,0.5405930365632644,0.5415518382355395
thickness5,0.2909818690140836,-0.16245013045514325,0.029009309271809024,0.03975476750811964,0.023632017767279138,0.2335673001966348,-0.15980001789226708,0.8672349407502125,-0.15603502066122493,-0.2664684510552931,0.9653712811640417,0.9685812976757996,0.9524939319995518,0.9532712231611491,1.0,0.9895907388595594,0.9895907388595592,0.5280593976564116,0.4735204355495199
average_thickness,0.2972924985941415,-0.16949965553498852,0.029789445747770028,0.03533815542205994,0.026551085746494358,0.23470562133528095,-0.1550190192902503,0.8741857035974059,-0.16517978115687734,-0.2782636501165335,0.9805301692028806,0.9729721301408037,0.9747393828757629,0.9732949913226344,0.9895907388595594,1.0,1.0000000000000002,0.5521828128373677,0.5054969652449555
sheet_thickness,0.2972924985941414,-0.16949965553498852,0.029789445747770052,0.03533815542205994,0.026551085746494358,0.23470562133528095,-0.15501901929025028,0.8741857035974057,-0.16517978115687743,-0.27826365011653337,0.9805301692028805,0.9729721301408035,0.9747393828757627,0.9732949913226342,0.9895907388595592,1.0000000000000002,1.0,0.5521828128373678,0.5054969652449554
standard_deviation,-0.15545690127242678,0.04475500209412334,-0.07657298327548644,-0.0480215023762096,0.12942131571054274,0.11252899974414796,0.30707093629179955,0.2926141695291062,-0.05643118021125134,0.16647092181058662,0.48783032616721217,0.6078216561303362,0.529058662047414,0.5405930365632644,0.5280593976564116,0.5521828128373677,0.5521828128373678,1.0,0.9612142866465175
standard_deviation2,-0.18530394805367445,0.04440524363420616,-0.07770933039799587,-0.04403841067810071,0.14780549128276008,0.05792484679266809,0.3993020002074357,0.285460825003937,-0.07563123550511798,0.17606373657639796,0.42553562414969137,0.5226193361959517,0.5042067826788837,0.5415518382355395,0.4735204355495199,0.5054969652449555,0.5054969652449554,0.9612142866465175,1.0
